layer,measurement,measurement_label,site,peak_abs_z,peak_z_ci_lower_abs,peak_timepoint,clinical_flagged_count,concordance_class,signal_score,rank_overall,rank_within_layer
microbial,K03313,"Na+:H+ antiporter, NhaA family",ORC,7.412599767741268,6.282122909537576,R+1,0,concordant,7.538547491445091,1386,790
microbial,K01489,cytidine deaminase [EC:3.5.4.5],ORC,8.386281235524075,7.537070811618406,R+1,0,idiosyncratic,7.537070811618406,1387,791
microbial,K04075,tRNA(Ile)-lysidine synthase [EC:6.3.4.19],NAC,11.174361504397469,9.4199211082452,R+1,0,ambiguous,7.5359368865961605,1388,593
microbial,K07089,uncharacterized protein,ORC,6.614702518978828,6.277868570788266,R+1,0,concordant,7.533442284945919,1389,792
microbial,K00688,glycogen phosphorylase [EC:2.4.1.1],ORC,8.715725009205137,7.5272702984905235,R+82,0,idiosyncratic,7.5272702984905235,1390,793
microbial,K10439,ribose transport system substrate-binding protein,NAC,11.122375941009853,9.399777269576292,R+45,0,ambiguous,7.519821815661034,1391,594
microbial,K08987,putative membrane protein,ORC,7.704815554109282,7.513674114835998,R+82,0,idiosyncratic,7.513674114835998,1392,794
microbial,K03111,single-strand DNA-binding protein,ORC,8.398570188357207,7.505960149858802,R+82,0,idiosyncratic,7.505960149858802,1393,795
microbial,K02501,imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10],NAC,6.898202406500996,6.249718690005761,R+1,0,concordant,7.499662428006912,1394,595
microbial,K09794,uncharacterized protein,ORC,7.2873610613718585,6.248996072823473,R+1,0,concordant,7.498795287388167,1395,796
microbial,K00763,nicotinate phosphoribosyltransferase [EC:6.3.4.21],NAC,10.558858819469883,9.37223729520536,R+1,0,ambiguous,7.497789836164289,1396,596
microbial,K02919,large subunit ribosomal protein L36,NAC,9.684224084449953,9.371262649133865,R+1,0,ambiguous,7.497010119307092,1397,597
microbial,K03595,GTPase,ORC,8.832533461503056,7.494510133971571,R+82,0,idiosyncratic,7.494510133971571,1398,797
microbial,K01239,purine nucleosidase [EC:3.2.2.1],NAC,7.006607123687342,6.239779929845008,R+1,0,concordant,7.487735915814008,1399,598
microbial,K02600,transcription termination/antitermination protein NusA,ORC,8.67738983223285,7.479048897685361,R+82,0,idiosyncratic,7.479048897685361,1400,798
microbial,K00016,L-lactate dehydrogenase [EC:1.1.1.27],NAC,10.77171081595197,9.34102084339708,R+1,0,ambiguous,7.472816674717665,1401,599
microbial,K25026,glucokinase [EC:2.7.1.2],ORC,10.972292372471289,9.3406905493657,R+1,0,ambiguous,7.47255243949256,1402,799
microbial,K01637,isocitrate lyase [EC:4.1.3.1],NAC,10.49454744631253,9.340087036372429,R+1,0,ambiguous,7.472069629097944,1403,600
microbial,K09906,elongation factor P hydroxylase [EC:1.14.-.-],ORC,9.742252101776764,9.328544523899364,R+82,0,ambiguous,7.462835619119492,1404,800
microbial,K01858,myo-inositol-1-phosphate synthase [EC:5.5.1.4],NAC,11.040459482393972,9.328452627672702,R+1,0,ambiguous,7.462762102138162,1405,601
microbial,K07792,anaerobic C4-dicarboxylate transporter DcuB,NAC,10.44344108006464,9.327260850545064,R+1,0,ambiguous,7.461808680436052,1406,602
microbial,K02434,aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7],NAC,10.735866280184696,9.324854987297892,R+1,0,ambiguous,7.459883989838314,1407,603
microbial,K03719,"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",ORC,8.412600517979234,7.457854638812164,R+82,0,idiosyncratic,7.457854638812164,1408,801
microbial,K07007,"3-dehydro-bile acid Delta4,6-reductase [EC:1.3.1.114]",ORC,6.692054175662829,6.2146589382133985,R+1,0,concordant,7.457590725856078,1409,802
microbial,K01616,multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61],NAC,11.016865574122333,9.320743801056693,R+1,0,ambiguous,7.456595040845355,1410,604
microbial,K01139,"GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]",ORC,10.70789633849891,9.31951715583459,R+1,0,ambiguous,7.455613724667673,1411,803
