rank_overall,layer,measurement,measurement_label,site,timepoint,days_from_launch,phase,value_raw,value_transformed,z_score,z_score_ci_low,z_score_ci_high,z_score_robust,deviation_flag,deviation_direction,fold_change
97,microbial,K07047,N-substituted formamide deformylase [EC:3.5.1.91],NAC,R+1,1,post-flight,0.0,0.0,-38.76179298841704,-101.16394879754714,-33.736895378235,-38.94534358821172,extreme,down,0.0
97,microbial,K07047,N-substituted formamide deformylase [EC:3.5.1.91],NAC,FD2,2,in-flight,9.4353,2.345194289516962,-16.949218721118008,-45.18293547833425,-14.538527422904105,-17.145361725702895,extreme,down,0.1478880193353323
97,microbial,K07047,N-substituted formamide deformylase [EC:3.5.1.91],NAC,FD3,3,in-flight,60.0,4.110873864173311,-0.5266915869685901,-3.0352412646245046,0.1731693717032267,-0.7323153207336782,stable,,0.9404344493677932
97,microbial,K07047,N-substituted formamide deformylase [EC:3.5.1.91],NAC,R+45,45,post-flight,0.0,0.0,-38.76179298841704,-101.16394879754714,-33.736895378235,-38.94534358821172,extreme,down,0.0
97,microbial,K07047,N-substituted formamide deformylase [EC:3.5.1.91],NAC,R+82,82,post-flight,12.1918,2.5795954244389168,-14.769061543233436,-39.58765788672487,-12.619659012941478,-14.966463153123398,extreme,down,0.1910931453300376
99,microbial,K05362,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7],ORC,L-92,-92,pre-flight,82.6639,4.426807582187841,0.8918633174321355,0.5773502691896234,2.1127114368773485,0.6744907594765952,stable,,1.1014867459615612
99,microbial,K05362,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7],ORC,L-44,-44,pre-flight,66.12610000000001,4.2065729400318155,-1.0810968870340305,-4.286188921969849,-0.5773502691896234,-1.2194561319507766,elevated,down,0.8811225058596172
99,microbial,K05362,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7],ORC,L-3,-3,pre-flight,76.3527,4.348375482680066,0.1892335696018947,-1.154700538379245,1.154700538379248,0.0,stable,,1.0173907481788216
99,microbial,K05362,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7],ORC,R+1,1,post-flight,0.0,0.0,-38.76545447319108,-97.18180313611148,-33.660238531235656,-37.39462669250001,extreme,down,0.0
99,microbial,K05362,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7],ORC,FD2,2,in-flight,133.72820000000002,4.90325941562507,5.160131458693193,4.324439168528092,11.67639749729861,4.771822859546582,extreme,up,1.781912538136924
